image_path,label_path,class_id,class_name,conf_det,x,y,w,h,ocr_text,ocr_conf
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240319_133126275_jpg.rf.b10b770156fad18531f735afa211f6b6.txt,1,fire_extinguisher,0.332,425,93,17,39,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240325_162133706_04_jpg.rf.470f2fd4b0e4d6a203d659c3ac2ff49b.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240325_162133706_04_jpg.rf.470f2fd4b0e4d6a203d659c3ac2ff49b.txt,1,fire_extinguisher,0.2774,342,558,11,10,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240325_162133706_06_jpg.rf.6ab13f86d2b307e02c69f678f1ab4042.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240325_162133706_06_jpg.rf.6ab13f86d2b307e02c69f678f1ab4042.txt,0,exit,0.3033,168,299,16,21,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240325_162133706_07_jpg.rf.01e7a87e0d6bcc1aa3bb7d940d5b9bd9.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240325_162133706_07_jpg.rf.01e7a87e0d6bcc1aa3bb7d940d5b9bd9.txt,0,exit,0.8128,249,537,31,52,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240325_162133706_07_jpg.rf.5591e80f61f9e87b51c0e285b55ba7f5.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240325_162133706_07_jpg.rf.5591e80f61f9e87b51c0e285b55ba7f5.txt,0,exit,0.6744,382,535,31,49,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240325_162133706_07_jpg.rf.f1cf771e1a92454ebd5fa2139e81de47.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240325_162133706_07_jpg.rf.f1cf771e1a92454ebd5fa2139e81de47.txt,0,exit,0.8174,339,543,34,50,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240330_153803899_01_jpg.rf.959cf5de93d52bfddbda353d8418c921.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240330_153803899_01_jpg.rf.959cf5de93d52bfddbda353d8418c921.txt,0,exit,0.8458,362,477,42,56,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240330_153803899_01_jpg.rf.ae64b8a21d67a0f70c62d50e92ec626e.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240330_153803899_01_jpg.rf.ae64b8a21d67a0f70c62d50e92ec626e.txt,0,exit,0.8877,152,420,40,54,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240330_153803899_01_jpg.rf.ae64b8a21d67a0f70c62d50e92ec626e.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240330_153803899_01_jpg.rf.ae64b8a21d67a0f70c62d50e92ec626e.txt,0,exit,0.2996,117,320,66,89,,0.0
C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\KakaoTalk_20240330_153803899_02_jpg.rf.6b0204ee81d0a1c3bb8f5ececea71058.jpg,C:\Users\shreya\OneDrive\Desktop\Thesis Semantic ENrichments of Incomplete floorplans\thesis yolo backup\thesis-yolo\runs_gpu\evac_v12_pred_with_labels\labels\KakaoTalk_20240330_153803899_02_jpg.rf.6b0204ee81d0a1c3bb8f5ececea71058.txt,0,exit,0.8526,106,313,37,48,,0.0
